# EIS post-launch calibration factors for 2011-07-02T03:38:08
# I_corrected = I_preflight * factor
# columns: wavelength[A]  NRL_Warren2014  DelZanna2013
   262.80   9.512239e-01   2.382026e+00
   262.90   9.519641e-01   2.376800e+00
   263.00   9.527718e-01   2.371285e+00
   263.10   9.537402e-01   2.365584e+00
   263.20   9.547777e-01   2.359589e+00
   263.30   9.558792e-01   2.353354e+00
   263.40   9.570385e-01   2.346929e+00
   263.50   9.582500e-01   2.340364e+00
   263.60   9.595080e-01   2.333706e+00
   263.70   9.608065e-01   2.327000e+00
   263.80   9.621400e-01   2.320288e+00
   263.90   9.635027e-01   2.313612e+00
   264.00   9.648888e-01   2.307010e+00
   264.10   9.663607e-01   2.300685e+00
   264.20   9.678593e-01   2.294366e+00
   264.30   9.693837e-01   2.288073e+00
   264.40   9.709339e-01   2.281828e+00
   264.50   9.725099e-01   2.275653e+00
   264.60   9.741113e-01   2.269565e+00
   264.70   9.757380e-01   2.263584e+00
   264.80   9.773898e-01   2.257728e+00
   264.90   9.790666e-01   2.252015e+00
   265.00   9.807684e-01   2.246460e+00
   265.10   9.826286e-01   2.241119e+00
   265.20   9.845166e-01   2.235911e+00
   265.30   9.864272e-01   2.230829e+00
   265.40   9.883556e-01   2.225867e+00
   265.50   9.902962e-01   2.221019e+00
   265.60   9.922435e-01   2.216279e+00
   265.70   9.941923e-01   2.211642e+00
   265.80   9.961373e-01   2.207103e+00
   265.90   9.980733e-01   2.202654e+00
   266.00   9.999943e-01   2.198292e+00
   266.10   1.001984e+00   2.193779e+00
   266.20   1.003959e+00   2.189332e+00
   266.30   1.005922e+00   2.184970e+00
   266.40   1.007875e+00   2.180712e+00
   266.50   1.009824e+00   2.176576e+00
   266.60   1.011770e+00   2.172580e+00
   266.70   1.013717e+00   2.168741e+00
   266.80   1.015669e+00   2.165074e+00
   266.90   1.017628e+00   2.161598e+00
   267.00   1.019599e+00   2.158329e+00
   267.10   1.021766e+00   2.155355e+00
   267.20   1.023947e+00   2.152589e+00
   267.30   1.026135e+00   2.149995e+00
   267.40   1.028321e+00   2.147545e+00
   267.50   1.030499e+00   2.145206e+00
   267.60   1.032660e+00   2.142949e+00
   267.70   1.034799e+00   2.140745e+00
   267.80   1.036905e+00   2.138564e+00
   267.90   1.038972e+00   2.136379e+00
   268.00   1.040992e+00   2.134161e+00
   268.10   1.043150e+00   2.131658e+00
   268.20   1.045274e+00   2.129137e+00
   268.30   1.047357e+00   2.126613e+00
   268.40   1.049390e+00   2.124100e+00
   268.50   1.051366e+00   2.121614e+00
   268.60   1.053277e+00   2.119166e+00
   268.70   1.055117e+00   2.116770e+00
   268.80   1.056877e+00   2.114440e+00
