y0,y1,x0,x1,Si_VII_275.368,Fe_IX_188.497,Fe_IX_197.862,Fe_X_184.536,Fe_XI_180.401,Fe_XI_188.216,S_X_264.233,Si_X_258.375,Fe_XII_192.394,Fe_XII_195.119,Fe_XIII_202.044,Fe_XIII_203.826,Fe_XIV_264.787,Fe_XIV_270.519,Fe_XV_284.160,S_XIII_256.686,Fe_XVI_262.984,Ar_XIV_194.396,Ca_XIV_193.874,Ca_XV_200.972,Ca_XVI_208.604,Ca_XVII_192.858
220,240,36,42,0.9806,1.2691,1.2451,1.4359,1.6860,1.7504,1.1487,1.2180,1.9117,1.8554,1.6906,2.0166,1.1959,1.2021,1.0487,1.0338,1.0180,0.4621,0.7014,0.7441,0.6163,6.6083
220,240,44,50,0.4810,1.6004,1.6244,1.8123,2.0734,2.1372,1.1299,1.2078,2.2187,2.1412,1.8033,2.1334,1.2965,1.2679,0.9786,0.9825,0.9226,0.3866,0.4464,0.5199,0.2385,7.4487
240,260,4,10,1.3969,0.4963,0.6327,0.5431,0.7062,0.6540,0.6530,0.9534,0.6403,0.7193,0.8127,0.3157,0.4793,0.5520,0.4841,0.1708,0.1922,0.0517,0.0723,0.1730,0.1269,2.1901
240,260,12,18,1.1360,0.7118,0.8931,0.7858,0.9386,0.9286,1.2129,1.6197,0.9361,1.0096,1.0839,0.6235,1.0094,1.1485,0.8600,0.3422,0.3433,0.0944,0.1375,0.2784,0.0000,3.2029
240,260,20,26,0.7244,1.6930,1.7737,1.8396,1.9971,2.0792,1.3318,1.7144,2.0829,2.1072,1.8075,1.9164,1.3105,1.3699,1.0872,0.5940,0.6575,0.4234,0.4324,0.5955,0.3235,7.1647
240,260,28,34,0.2771,1.4733,1.3885,1.6356,1.7572,1.8401,0.7447,0.7618,1.9531,1.9039,1.6644,2.1418,0.8273,0.8567,0.8880,0.7310,0.7446,0.9215,1.0439,1.0523,1.0188,6.7420
240,260,36,42,0.3503,1.0166,1.0291,1.0693,1.0890,1.0751,0.6550,0.6566,1.0844,1.0767,1.0504,1.0545,0.5992,0.6386,0.7112,0.6009,0.5633,0.9506,0.9666,0.9922,1.4519,6.9733
240,260,44,50,0.3787,0.8047,0.8043,0.9375,1.0728,1.0593,0.8865,0.8309,1.1318,1.1084,1.0352,1.1834,0.7152,0.7448,0.6558,0.4972,0.3689,0.7688,0.7703,0.7072,0.7419,4.3390
260,280,4,10,2.2365,1.6288,2.0196,1.5453,1.6423,1.6766,1.4474,2.1630,1.5494,1.5739,1.5040,0.9861,1.2709,1.3717,0.9737,0.5027,0.4917,0.0816,0.0881,0.3392,0.4452,6.4770
260,280,12,18,0.8464,1.7901,2.0936,1.9865,2.1659,2.2858,1.8338,2.3240,2.2933,2.2821,2.0359,1.8817,1.7293,1.7415,1.2937,1.0727,0.8495,0.2110,0.2205,0.5857,0.4140,8.5439
260,280,20,26,0.2232,1.2257,1.2083,1.4018,1.6407,1.6197,0.5824,0.5357,1.6628,1.6447,1.4488,1.4264,0.6019,0.6359,0.8086,0.8170,0.7443,0.4314,0.5839,0.6111,0.5606,5.8771
260,280,28,34,0.3660,0.4774,0.5482,0.6095,0.7567,0.7537,0.9628,1.1090,0.8307,0.8518,0.8768,0.7769,1.0077,1.0510,0.9791,0.8951,0.7871,0.5849,0.6985,0.6456,0.6089,3.0218
260,280,36,42,0.4142,0.6397,0.6922,0.7274,0.8374,0.8772,1.1120,1.2968,0.9297,0.9488,0.8915,0.8699,1.0161,1.0559,0.8490,0.7280,0.5483,0.5273,0.5728,0.5098,0.4493,3.5434
260,280,44,50,0.7890,0.7714,0.8763,0.8609,0.9988,1.0599,1.5286,1.8058,1.1397,1.1415,1.0422,1.0867,1.1168,1.1776,0.7419,0.5104,0.3568,0.3167,0.2963,0.2817,0.0000,4.1202
280,300,4,10,1.2493,2.4914,2.8598,2.3780,2.3830,2.3741,2.0712,2.7079,2.2352,2.2256,1.9665,1.6891,1.9186,2.0641,1.1273,0.7339,0.7445,0.2025,0.2164,0.5280,0.5391,8.8715
280,300,12,18,0.3877,1.3621,1.3617,1.5518,1.7628,1.7609,1.2004,1.2836,1.8599,1.8379,1.5776,1.8072,1.3733,1.4698,1.1555,1.2873,1.2337,0.4782,0.7053,0.6961,0.5063,6.6592
280,300,20,26,0.1999,0.3509,0.4497,0.4922,0.6278,0.6041,0.6902,0.6484,0.6589,0.6794,0.8040,0.5201,0.6718,0.7601,0.7108,0.7699,0.7363,0.5241,0.8553,0.8873,1.8204,3.4999
280,300,28,34,0.2426,0.6674,0.7173,0.8265,1.0299,1.0195,0.6780,0.6522,1.1513,1.1350,1.1635,1.0521,0.4914,0.5708,0.4810,0.4371,0.3334,0.4229,0.6713,0.6040,1.3377,4.1332
280,300,36,42,0.3846,0.6615,0.7805,0.8748,1.1244,1.0848,0.6712,0.6288,1.1935,1.1812,1.2358,0.9595,0.3967,0.4685,0.3629,0.2624,0.1805,0.2271,0.3365,0.2956,0.7783,3.8585
280,300,44,50,0.7210,1.1465,1.2988,1.3527,1.6052,1.6059,0.5665,0.7024,1.6660,1.6354,1.5592,1.2150,0.2836,0.3387,0.2057,0.0797,0.0679,0.1279,0.1250,0.2833,0.8727,6.1463
300,320,4,10,0.1953,1.9178,2.0960,2.1835,2.3713,2.4339,0.9068,0.7957,2.6848,2.4511,2.4040,2.2688,0.7986,0.8928,0.6346,0.5944,0.4531,0.3006,0.3679,0.4517,0.5402,9.2568
300,320,12,18,0.1331,0.6531,0.7618,0.8832,1.0720,1.0687,0.4649,0.4017,1.2544,1.1929,1.4096,1.1102,0.4152,0.4775,0.4338,0.4419,0.3293,0.5235,0.9104,0.7824,1.0826,4.0382
300,320,20,26,0.1710,0.3082,0.4386,0.4963,0.6924,0.6527,0.4700,0.4272,0.7605,0.7542,0.9917,0.5134,0.3102,0.3710,0.3146,0.2185,0.1500,0.1970,0.5136,0.4557,0.8371,2.6034
300,320,28,34,0.2766,0.3225,0.4420,0.5100,0.7002,0.6559,0.4508,0.4181,0.7200,0.7347,0.9389,0.3931,0.2432,0.2901,0.2234,0.1154,0.0869,0.1374,0.1696,0.1615,0.4355,2.4779
